gene	Preleukemia_Control_rep1	Preleukemia_Control_rep2	Preleukemia_Control_rep3	Preleukemia_Tet2_rep1	Preleukemia_Tet2_rep2	Preleukemia_Tet2_rep3	Preleukemia_Rx1_rep1	Preleukemia_Rx1_rep2	Preleukemia_Rx1_rep3	Preleukemia_Rx1Tet2_rep1	Preleukemia_Rx1Tet2_rep2	Preleukemia_Rx1Tet2_rep3	Leukemia_Rx1Tet2_rep1	Leukemia_Rx1Tet2_rep2	Leukemia_Rx1Tet2_rep3	Leukemia_CreKI_rep1	Leukemia_CreKI_rep2	Leukemia_CreKI_rep3
Il4	0.259180874877255	0.3212885507117802	0.0831450024606181	0.4602099393568	0.511501436950569	0.5977723779145402	0.4498349655233958	0.443244871552822	0.730652997168952	0.3383182947056963	0.862879821522434	0.1237432617211904	3.32279633598762	3.632826570034337	3.0280015097694317	4.751838593206355	5.537159371162424	5.577422785321352
Ccl3	0.0	0.1841571283972892	0.4264665836853203	0.6272538248949066	0.4558892604279113	0.319925398935353	0.213749158260157	0.2742151363877274	0.1465639919063185	0.1732118814504504	0.7334107456330792	1.017886285457701	1.3880407127997616	0.1466630415835906	0.0	0.8419787528717086	0.8231786900956374	0.176876763294859
Il16	3.746645988344435	4.016041617457945	4.118284964369697	4.470172403533525	4.137159203166201	4.112508316611357	4.950780995316515	5.111152366789558	4.761125674374688	4.659102535945395	5.104072421118953	4.888869859616058	5.194626858295783	5.334225008414431	3.7730046588282895	2.946927322741141	4.099253118104283	1.6235485163402843
Il7r	0.1231818622253462	0.2034981235568105	0.2306051408460311	0.1687768005981974	0.1908689291427199	0.1350295425080246	0.0792396467141295	0.1153852815236186	0.0136386955341408	0.108502243285252	0.0334740301902669	0.0799791984242517	1.730639955916791	0.2030658091954168	0.3636532969024155	0.790609412781528	0.5593870641135914	0.0325249120128591
Ccl24	0.9065435376201691	0.3548966926701254	0.3378743314710825	0.5869366797841483	0.6475374019529513	0.2562751996002564	2.522450025226699	2.872799215989233	2.002003953681456	3.058652450274608	3.7145202905535135	3.338792351371544	3.4405828420774864	1.040675045879873	0.1839488650166407	2.470968893094843	6.495185077205782	2.216845946238154
Csf1	0.5436918588748049	0.7558310367121156	0.8230041829960014	0.8897165022893273	0.7848850218619691	0.6031446640516168	1.2122331377289468	1.4935499897615834	1.295540839732671	1.4311147848528385	1.8536843266919536	1.6047640306175752	1.2679072854079738	1.478148651818934	2.088474070583554	0.1247578352970611	0.2734239839676332	0.2855501799967699
Il10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0489958422127511	0.0	0.4505583054115559	0.558864183898176	2.3495124838635	0.2518390471436021	0.0933224566831399	0.0
Ccl4	0.1207614642870867	0.2882888622439552	0.3951494683273467	0.7357058601065697	0.0	0.6138880394350366	0.6634675904979468	0.2525743080076664	0.0	0.1082871829317665	0.4035415084233815	0.0917805212640668	2.9906699226740154	0.9842947662540376	1.1124532690100686	1.4369293663981086	0.3921382426681725	0.3093019374978958
Il13	0.0	0.0370931620111032	0.0	0.0	0.0	0.0503070728557356	0.0	0.0	0.0	0.0	0.0	0.0	0.0441233919071932	0.0435831843120172	0.0375541402402633	1.5140869026598522	1.4683695685745692	1.4781331161109377
Tnf	0.0468635773515058	0.1505011877529962	0.0555392774384073	0.1037774567974819	0.1554707682527384	0.0403591484717049	0.1662899639159907	0.0596854536195551	0.1676944745014714	0.0413533182455364	0.1468650297188155	0.0698825094210383	1.2098401120243336	0.1477638597119827	1.3047855366135903	0.2925296972204169	0.9139605316219604	0.3045694493337312
Il6	0.461510748313044	0.2090839884161813	0.1328575240095999	0.4877065441976808	0.3868881823801553	0.3546902392162627	0.0	0.0	0.0	0.0	0.0700100553455028	0.0	2.296410418065248	1.2227118398754686	1.327060719100008	1.4733193559174356	2.8251954058148163	3.2350223870071093
Il1b	0.0509898848329114	0.4472512139260349	0.3049210126705795	0.0	0.283326797145764	0.3189623300607105	0.0	0.0372857813816378	0.0	0.0887058069408645	0.0	0.1125271991228911	2.041600457119404	0.0380775002232736	0.0	1.89492638566882	1.8224609557005087	0.369328000615479
Il12a	1.5574002867207006	2.3220983228589342	2.3682431292619777	2.2301630404436663	2.196600749600105	2.3059180053456	2.697578126314903	2.763551800162681	2.7411541438398994	2.059628699181727	2.939572632554483	2.8641088686185845	2.5864332996828456	3.930548119247855	3.4752275885295565	0.338058096322084	0.1874738582473028	0.097722432633632
