gene	Preleukemia_Control_rep1	Preleukemia_Control_rep2	Preleukemia_Control_rep3	Preleukemia_Tet2_rep1	Preleukemia_Tet2_rep2	Preleukemia_Tet2_rep3	Preleukemia_Rx1_rep1	Preleukemia_Rx1_rep2	Preleukemia_Rx1_rep3	Preleukemia_Rx1Tet2_rep1	Preleukemia_Rx1Tet2_rep2	Preleukemia_Rx1Tet2_rep3	cluster
Pcyt1b	-0.5656271281085818	1.2201823112792909	0.1802986425074492	0.3645697866027985	1.4861492519290425	1.2220612465498104	-0.0935672766997411	-0.1374199228069525	-0.5494207216700178	-0.6745004132263793	-2.3513838181544253	-0.1013419582022946	0
Hebp1	0.8732986695754007	0.5706296390561469	0.0065687315413037	0.3536258901285558	0.9561530017345392	1.4129801865932508	0.1004398135359402	0.0407474644218131	0.2073901452776311	-1.2441965582904353	-2.3102568366288208	-0.9673801469453244	0
Il27ra	-0.494959443315959	1.02288493517705	0.3688288541810994	1.1225189350300149	1.0853410964524404	1.3205630114999791	0.198213382481721	-0.1154215619664295	-0.2258741959658367	-1.1526350896356636	-1.740555046498762	-1.3889048774396693	0
Gm16510	0.0604169410858334	1.3294344344797115	1.3136554382796413	-0.1559395978729612	-1.201317743115276	1.4542338055364914	0.5414954231084054	-0.2323034242442657	0.4942779520882481	-1.201317743115276	-1.201317743115276	-1.201317743115276	0
Myh10	-0.6943742099633339	0.8177111733405138	0.2540054526134396	1.3399425922031205	1.3222880727752857	0.9596877758980126	-0.6280037754827424	0.3155963725739392	-0.5417737100006701	-0.919177748599669	-2.164156366130437	-0.0617456292274592	0
Nfatc2	-1.354162239549117	1.8805238311171792	-0.730370634051577	0.8199471581654378	1.3941956124879868	0.6129686624724887	-0.799974677554384	-1.0687325522194586	0.2958928640733796	-1.0369348712705035	-0.2891511214698903	0.2757979677984623	0
Tcof1	0.5515218365200086	0.4032573811477109	-1.038786927881485	0.2641194733737835	0.8775107643321688	0.8040667538860712	-2.6259694483194296	0.6724432097451788	0.4929294948251497	0.656972389890216	-0.9681127338730756	-0.0899521936463364	0
Tnfrsf18	1.5586699071296497	0.8550503458132612	1.2751406493053048	0.699745602627006	-0.086384671451119	0.1524099442329033	0.312373640250562	-1.5859131063852985	-0.0108096394705109	-1.1376185626426811	-0.4162211753992803	-1.6164429340097952	0
Cldn12	-0.2312375903500413	0.5721359416900931	1.6977886197250298	1.922829820419665	0.2253226936830749	-0.6729565794606241	0.4779219154213737	-0.2544371172011651	-0.2853099527669198	-0.8560831556492077	-1.126496396115335	-1.4694781993959398	0
Nipa1	0.131263849063399	1.3428641509580468	0.7485244298481627	0.7200130691913117	1.1708243550808364	0.760106490302979	0.0091707291148428	-0.5093204381215017	-0.7877535060462728	-1.1188459073547838	-2.2278218498982865	-0.2390253721387398	0
