gene	Preleukemia_Rx1Tet2_rep1	Preleukemia_Rx1Tet2_rep2	Preleukemia_Rx1Tet2_rep3	Leukemia_Rx1Tet2_rep1	Leukemia_Rx1Tet2_rep2	Leukemia_Rx1Tet2_rep3	
Pygl	0.921101983	0.873075133	0.756505231	-1.516948063	-1.2174298	0.183695515	-5.101364694
H2-Eb1	-0.17806671	0.320583195	0.194259326	0.907109273	0.832586538	-2.076471623	-0.673551623
Abca13	0.397821467	0.571954745	1.742205312	-0.768771995	-0.959678294	-0.983531236	-5.423963049
Rdh12	0.24848328	1.104416626	0.313465769	-0.359393882	0.695033216	-2.002005008	-3.33273135
Foxo1	0.98049869	0.835059787	0.724402809	0.197942623	-1.247919204	-1.489984704	-5.079922572
Rpl39l	1.571848784	-0.779418341	1.226960358	-0.529258954	-0.859094932	-0.631036914	-4.038781602
Ngp	-0.230988993	0.371610795	0.156917437	1.746909765	-0.455502865	-1.588946139	-0.595078477
Irgm1	0.442324538	0.66437192	1.229505134	-0.791940974	0.235772252	-1.78003287	-4.672403185
Atp10d	0.733161765	0.304421268	1.655456322	-0.688158735	-1.272560918	-0.732319702	-5.386078711
Nlrp12	0.646212351	0.998711211	1.199456772	-0.400735507	-1.221822414	-1.221822414	-5.688760667
4933412E12Rik	0.488303382	1.524875962	-0.278613851	-1.048657075	0.662970885	-1.348879303	-3.469130986
Afdn	0.773123688	0.775772422	1.068273454	-0.634847068	-0.187601448	-1.794721047	-5.234339126
Runx2	0.854807051	0.764524312	0.961687886	-0.211042425	-1.858423603	-0.511553221	-5.162038499
Igsf3	1.011304951	-0.099759192	1.656833698	-0.892151526	-0.941574372	-0.734653559	-5.136758915
Dstyk	0.396398823	0.830524605	1.554874982	-1.190860487	-0.634580481	-0.956357443	-5.56359682
Gm16576	0.342897049	0.995112252	1.156476765	-0.132716734	-1.792498839	-0.569270492	-4.98897213
Sncaip	0.422843548	-0.085825939	0.552098793	1.569244385	-1.117988334	-1.340372452	-1.778232804
Ly75	0.100368224	0.592588167	1.493931215	0.312604512	-1.554280953	-0.945211165	-4.373775213
Tgtp2	0.03001834	0.566694246	1.135548764	-1.843207942	0.757226616	-0.646280024	-3.464522701
Arhgef25	1.286959024	-0.843132544	1.177039785	-1.054057902	0.415082543	-0.981890905	-3.241732529
Btbd11	0.506104329	1.151279243	0.774110593	-0.134892	-0.385483707	-1.911118458	-4.862988331
Ptafr	-0.091577125	0.939646598	0.59131144	0.230513255	0.451835541	-2.12172971	-2.878761829
Tshr	0.844080377	0.204511756	1.665604154	-0.83755245	-1.005686253	-0.870957585	-5.428392575
Cd93	-0.126244202	0.410572413	0.76805798	1.400901012	-0.870450579	-1.582836624	-2.104772381
Cachd1	0.947494953	0.070386993	1.650426659	-0.896414866	-0.882238462	-0.889655277	-5.336617211
Itpripl2	-0.021487488	0.326852926	0.846561094	1.379446451	-1.079618405	-1.451754578	-2.303853064
Ntng2	-0.25889548	0.363224879	0.647578624	1.60631516	-1.281155852	-1.077067331	-1.503816045
Galm	0.718745524	0.888397484	0.113596177	-0.923704105	-1.723355069	0.92631999	-3.441478369
P2rx7	-0.347042298	0.476725116	0.444444311	1.612837068	-0.612797975	-1.574166222	-1.148254259
Lyst	-0.589526275	0.637431446	1.496844597	0.132237224	-1.727865973	0.05087898	-3.089499539
Pik3c2a	0.513751307	-0.08235188	1.086026082	0.394713372	0.17660194	-2.088740821	-3.034851018
Rab19	0.307858787	-0.076441546	0.442191762	1.675668215	-0.913458201	-1.435819017	-1.347218006
Trerf1	0.827221433	1.043342045	0.891087064	-1.553910351	-0.984100525	-0.223639666	-5.523301084
Sfrp4	1.901808521	-0.245438653	0.693944288	-0.783438052	-0.783438052	-0.783438052	-4.700628312
Cyp1a1	0.954499874	-0.002201645	1.669925009	-0.799879309	-0.911171964	-0.911171964	-5.244446476
Slc26a6	1.120723338	0.561613995	0.572578218	-0.0706402	-2.016854838	-0.167420513	-4.509831103
Krt80	-0.226169504	0.511336054	0.231670522	1.749743478	-1.174616003	-1.091964548	-1.033674145
Gm3375	-0.036165917	1.923588128	0.002820942	-1.350441622	0.135751401	-0.675552933	-3.780486308
Ncam1	0.80362448	0.583950577	1.472625242	-1.082150947	-0.673636776	-1.104412576	-5.720400598
Atp11a	-0.204763397	0.756226904	1.265134506	-0.644711296	-1.74424289	0.572356172	-3.633196028
Kcng1	0.454994961	-0.138757642	1.985690587	-0.908308578	-0.565191073	-0.828428254	-4.603855811
Lyz2	0.016937009	1.085807701	-0.432012053	1.085115631	0.100626524	-1.856474813	-1.341465315
Lmcd1	0.668286905	0.49729417	1.617306829	-1.15053053	-0.685041471	-0.947315905	-5.56577581
Ephx2	1.641715552	0.672469641	0.322576592	-1.355848762	-0.428555565	-0.852357457	-5.273523568
Gm11837	1.322022257	-0.23655068	1.439276457	-0.841582678	-0.841582678	-0.841582678	-5.049496066
Nlrp1a	-0.339095642	0.974975514	1.68399225	-1.151980654	-0.795561336	-0.372330133	-4.639744245
Rmrp	0.480975781	1.115667221	-1.220525961	1.28396731	-0.767779634	-0.892304717	-0.752234082
Rmrp	0.480975781	1.115667221	-1.220525961	1.28396731	-0.767779634	-0.892304717	-0.752234082
Mpzl1	1.65127431	0.02693907	-0.382218794	0.750378668	-1.507741236	-0.538632018	-2.591989172
Mndal	1.300997426	0.810721758	-0.916307153	-1.63810966	0.342020426	0.100677202	-2.390824062
Mpp2	0.969625579	-0.618074772	1.695710406	-1.089818605	-0.199147282	-0.758295325	-4.094522425
Spon2	0.53658316	-0.304438946	1.655316289	0.395882034	-1.382268721	-0.901073817	-3.774921006
Sntb2	-0.425072097	0.796232291	0.995084563	0.68873587	-1.924514498	-0.13046613	-2.732489514
Plxnd1	-0.705902684	1.14202994	0.91211678	-1.411390243	-0.796525881	0.859672088	-2.696488072
Cmah	0.938562465	-0.614782995	0.305183127	0.391298303	0.899554819	-1.919815719	-1.257925192
Gm13991	-0.508313644	0.26597359	0.801355153	1.599718968	-0.815228767	-1.3435053	-1.118030198
Nfam1	-0.572013111	1.167429907	0.189194945	0.91344845	0.150475135	-1.848535326	-1.569223482
H2-T22	-0.299178896	1.517395031	-0.182028482	-0.874418958	1.101734963	-1.263503659	-2.072375306
Lrp4	0.051715311	0.086457771	1.346606293	-1.135603775	-1.363272859	1.014097259	-2.96955875
Ifi47	0.130162665	1.365253852	-0.415632737	-0.078485189	0.810634363	-1.811932955	-2.15956756
Morn4	1.436378629	0.711462708	0.742631357	-1.088785076	-0.712902542	-1.088785076	-5.780945388
Zfp862-ps	-0.728192561	0.492262221	1.433083984	-1.403190267	0.872276176	-0.666239554	-2.394307288
H2-T10	-0.378419935	1.860679719	-0.16551353	-1.143647542	-0.809170738	0.636072027	-2.633492506
Gjb3	1.992739864	0.357803476	-0.545349322	-0.895362858	-0.895362858	-0.014468302	-3.610388034
Btnl9	0.504077385	0.758502614	-0.381492066	1.461981041	-1.438619593	-0.904449381	-1.762175866
H2-Q6	-1.103931365	1.450718021	0.510430045	0.902192925	-1.044781675	-0.714627952	-1.714433403
Rapgef2	-0.386974462	-0.003538353	1.076039359	0.666602906	-1.967167177	0.615037726	-1.371053089
Cyb561	-0.854800031	0.707987921	1.148270048	-1.462802921	1.006344434	-0.544999451	-2.002915876
Smoc1	-0.387490984	0.61524881	-0.014104108	-1.130971904	-0.914528247	1.831846432	-0.427307437
Il31ra	-0.321735688	-0.298989379	2.154446711	-0.007024871	-0.763348386	-0.763348386	-3.067443288
Rere	-0.314658977	0.000117425	0.543612598	-1.751137952	-0.069823663	1.59189057	-0.458142091
Lrrk2	-1.193089236	0.270205831	1.427512026	0.985222189	-1.183813671	-0.30603714	-1.009257242
Ppp1r3e	-1.220229446	0.080964045	1.326222142	1.27054358	-0.914740979	-0.542759343	-0.373913483
Nnt	-1.584673217	-0.060749364	-0.962998145	0.986577975	0.444020962	1.177821789	5.216841452
Nnt	-1.584673217	-0.060749364	-0.962998145	0.986577975	0.444020962	1.177821789	5.216841452
Rps6ka2	-0.809771194	0.336831676	0.634231142	-0.369605003	-1.423956658	1.632270036	-0.322583249
Csf1	-0.689089765	0.846977807	-0.057863543	-1.282359564	-0.518118621	1.700453687	-0.200048997
Fmr1nb	-0.70572847	-0.70572847	1.519549293	-0.70572847	1.303364589	-0.70572847	-0.216184703
n-R5s194							0
Gm7107	-1.9034178	1.387545476	0.431850592	0.439064275	-0.108898179	-0.246144364	0.168043465
Sdc2	-0.065838712	-0.71328621	0.35456325	1.992387626	-0.498846859	-1.068979096	0.849123342
Ifi203	0.511022725	0.740310809	-1.468731697	-0.321927098	1.449609654	-0.910284393	0.434796325
Camk2d	0.024189331	0.242586098	-0.375731964	0.591278342	1.391852433	-1.87417424	0.217913071
Tlr12	-1.030239682	0.798221659	0.160881422	1.597443046	-0.234506092	-1.291800354	0.1422732
Rn7sk	0.268694762	1.271066491	-1.607367274	0.9169809	0.088630559	-0.938005437	0.135212044
Sp140	-0.372779197	0.652227951	-0.522771628	-1.00931055	1.922289544	-0.66965612	0.486645747
Lpgat1	-0.472220522	-0.593471745	0.630574162	1.536114558	-1.565739765	0.464743313	0.870236211
Bpifc	0.105248333	-0.387860136	-0.057267602	2.058982017	-0.616504101	-1.10259851	0.679758812
Tceal3	0.472797941	-0.713125947	-0.362969215	2.029549115	-0.713125947	-0.713125947	1.206594442
Kif13b	-1.3625414	-0.278353519	1.025204289	0.806331002	-1.178513349	0.987872978	1.231381261
Pvr	-0.884613829	0.523684757	-0.364081419	1.62345012	-1.390354819	0.491915191	1.450020984
H2-Q7	-0.870470439	1.341644082	-1.116179149	-0.191055104	1.369454437	-0.533393827	1.290011011
Acp5	0.169104463	-0.245703975	-0.055863371	0.990006273	1.081213366	-1.938756756	0.264925766
Kalrn	-0.387556868	0.793355933	-0.884826309	-0.843149355	-0.533167143	1.855343742	0.958054487
Arhgef3	-1.312172871	0.080930908	0.390480935	1.545575561	0.508403863	-1.213218397	1.681522055
Gbe1	0.214288486	-0.639997033	-0.630952973	0.566649863	1.778830266	-1.288818608	2.113323041
Arhgef11	-1.207855615	-0.45498967	0.050777153	-0.74255397	0.467387861	1.887234242	3.224136265
Gm8483	-0.879719793	0.522367846	-0.085902425	-0.581890567	-0.916026143	1.941171081	0.886508743
Gm35853	-1.45124182	0.579439676	0.298557751	1.031762144	0.842971912	-1.301489663	1.146488786
Gm7504	-1.448202798	-0.537423654	1.180297546	-0.265113811	1.423357902	-0.352915186	1.610657811
Plbd1	-0.151545502	-0.367222976	0.356532454	1.663674524	0.203244624	-1.704683125	0.324472048
Gm8960	1.246488648	-1.970892781	-0.17847361	-0.079645437	0.634397137	0.348126042	1.805755485
Map3k3	-1.193759134	-0.002694231	0.540765542	1.853937432	-0.346617939	-0.851631671	1.311375646
Gm10154	-1.624734101	1.582272932	-0.742433435	0.304012193	0.461118236	0.019764176	1.56978921
Prss34	-0.218090815	-0.201390946	-0.594408167	2.202706262	-0.594408167	-0.594408167	2.027779857
Capza1	-0.434985147	-1.256176147	0.478491554	-0.180064193	-0.528700017	1.921433949	2.42533948
Faim2	-0.308141283	-0.284294624	0.072301988	-0.368340486	2.070372166	-1.181897761	1.040267838
Sh3d19	1.320862575	-2.02132629	0.17618973	-0.000101179	0.239443366	0.284931799	1.048547971
Gm11697	-0.817971965	1.274596483	-1.3222117	-0.079501539	1.340059505	-0.394970784	1.731174363
Sgsh	-0.611121995	-0.059623753	0.196361284	1.357825091	0.852593117	-1.736033744	0.948768928
Fndc3a	-0.502169703	-1.664504166	-0.410027996	0.362166829	0.771201316	1.443333721	5.153403731
Parp14	-1.124443203	-1.205392874	0.370242751	-0.369568764	0.77955071	1.54961138	3.919186651
Tcn2	-0.924571589	0.520264504	-0.857839159	1.53784169	0.793721691	-1.069417137	2.524292489
Hip1	-1.028390703	-0.719107183	-0.214562183	-0.333183946	0.243692696	2.05155132	3.92412014
Tlr6	-0.902585845	-0.207722387	-0.194531944	0.83679398	1.699388196	-1.231341999	2.609680353
Cd33	-0.666516066	-0.197322258	0.017720016	2.142864037	-0.443598309	-0.853147419	1.692236617
Pde3b	-0.409525875	-1.327206103	-0.306778461	-0.52455316	0.83454979	1.733513809	4.087020878
Snx29	-1.1450767	-0.672488599	0.493866038	1.896637676	-0.626536174	0.05359776	2.647398523
Gm46224	-0.174536341	-0.548852541	-0.775630731	0.002164212	2.153134466	-0.656279066	2.998039224
1700048O20Rik	-0.209672056	-0.639058809	-0.393881929	0.317654071	-1.096978889	2.021937611	2.485225586
Oasl2	-0.041791768	-0.593792913	-0.375992202	-1.407061516	1.75684332	0.66179508	2.023153768
Pfkfb3	-0.495593969	-0.932016249	-0.074997431	1.706253999	-1.088755059	0.885108709	3.005215298
Scd1	-0.026467724	-0.90325164	-0.066732319	1.717072749	0.632412124	-1.35303319	1.992903367
Cd74	-0.255496592	0.051758822	0.034742188	1.00635066	1.092532585	-1.929887664	0.337991163
Xaf1	-0.152902909	-0.407435136	-0.862967594	-1.019171851	1.94385373	0.498623761	2.846611279
Ap3m2	-0.836771829	-0.412289418	-0.834707957	1.631009507	1.140274066	-0.68751437	4.167538407
Shisa2	-0.991968751	-0.544623228	-0.412641457	0.116087589	-0.27829577	2.111441617	3.898466872
Il21r	-0.846520913	0.482039437	-0.752649013	-0.920126023	1.902574194	0.134682318	2.234260979
Ralb	-0.569777539	0.464422507	-1.702711494	-0.249226971	0.591556079	1.465737419	3.616133053
Naip2	-1.357122216	-0.429598284	-0.427309835	1.808226971	0.671435538	-0.265632174	4.42806067
Rpl31-ps7	-1.906877467	0.001738221	0.051071893	1.154082491	-0.276230839	0.976215701	3.708134705
E330009J07Rik	-0.459079545	-0.476201933	-0.113256364	2.103555953	0.005487865	-1.060505975	2.097075684
Btg1	-1.467973365	0.242819502	-0.29248176	1.844941026	0.185041654	-0.512347057	3.035271245
Ccdc50-ps	-0.216008314	-1.330219137	-0.208425404	2.021421832	-0.230046885	-0.036722091	3.509305711
Asah2	-0.821861652	-1.484126259	0.028663096	1.128772131	-0.196235808	1.344788491	4.554649629
Gm12226	-1.847633736	-0.026751678	-0.347356808	1.416994735	0.144309955	0.660437532	4.443484442
H2-Q4	-1.81747294	0.200161882	-0.818892204	0.759586932	0.79559152	0.88102481	4.872406524
Csf3r	-0.641248043	-0.451628416	-0.595067268	-1.085151256	1.450369623	1.32272536	3.375887452
Aatk	-2.06571727	0.398439326	-0.383887727	0.568441271	0.787876587	0.694847813	4.102331341
Galc	-0.83698027	-0.713928771	-0.466182305	-0.037479709	-0.08186008	2.136431135	4.034182692
Myo7a	-1.25635217	-0.497920393	-0.835716479	0.479966898	1.768722332	0.341299812	5.179978085
Oas1a	-0.074344397	-0.207345896	-1.444963909	-0.714484168	1.652711521	0.788426848	3.453308402
Cd177	-0.260035261	-0.065554624	-0.278527732	2.148963847	-0.632448107	-0.912398122	1.208235234
Nnt	-1.584673217	-0.060749364	-0.962998145	0.986577975	0.444020962	1.177821789	5.216841452
Nnt	-1.584673217	-0.060749364	-0.962998145	0.986577975	0.444020962	1.177821789	5.216841452
Ifi27l2a	-0.034222722	-0.277799314	-0.549691075	0.747690371	1.646658278	-1.532635538	1.723426224
Itgam	-0.765390996	-0.663456026	0.005754598	1.878598829	0.591115836	-1.046622241	2.846184848
Rmrp	0.480975781	1.115667221	-1.220525961	1.28396731	-0.767779634	-0.892304717	-0.752234082
Rmrp	0.480975781	1.115667221	-1.220525961	1.28396731	-0.767779634	-0.892304717	-0.752234082
Nedd9	-0.771572658	-0.971629176	-0.251790619	1.609436168	1.123531134	-0.737974848	3.989984907
Abcg1	-1.588422169	-0.281566634	-0.694165162	1.43727593	0.891372561	0.235505474	5.128307931
Isg15	-0.161095602	-0.594081481	-1.204070008	-0.103697287	2.039616012	0.023328366	3.918494182
4930481B07Rik	-2.175156402	0.783994291	0.005147569	0.436846455	0.554353165	0.394814921	2.772029084
Nlrc4	-0.986336321	-0.910114183	-0.945064332	1.580232732	0.711679572	0.549602532	5.683029672
Kctd11	-1.196936	-0.506187009	-0.770310588	1.855325126	0.514578147	0.103530325	4.946867196
Lpcat2	-0.235126073	-0.141516741	-0.444369815	1.959162452	0.218711287	-1.356861109	1.64202526
Ptgir	-0.408505439	-0.483823854	-0.413995054	-0.229430434	-0.680524518	2.2162793	2.612648695
Ifit1	-0.548994163	-0.548759453	-0.716621405	-0.983153205	1.44486139	1.352666836	3.628750043
Csf2rb	-1.379262799	-0.63573447	-0.838670153	1.379042281	0.713957427	0.760667714	5.707334843
Slc2a9	-1.007785317	-0.889335217	-0.492255787	1.894748471	-0.098182633	0.592810484	4.778752643
I730030J21Rik	-0.379130216	-0.654939074	-1.298778344	1.89407015	0.387800929	0.050976556	4.665695269
Tulp3	-1.222180539	-0.418981271	-0.880792763	0.155729024	0.578476385	1.787749165	5.043909146
Socs1	-1.345804536	0.041981289	-1.077687929	1.659809485	0.432412907	0.289288784	4.763022352
Uba7	-1.390805309	-0.701914907	-0.702803115	0.859528598	1.450810282	0.485184451	5.591046663
Prkce	-0.99151252	-1.135118876	-0.853645935	0.895620786	0.931279569	1.153376977	5.960554662
Fmo5	-0.699201197	-0.879669861	-0.554762825	1.061649006	1.703867095	-0.63188222	4.267267764
mt-Rnr1	0.256240864	-0.524631197	-1.789282347	1.316766864	0.844386301	-0.103480485	4.11534536
Rnase12	-0.579953902	-0.442523731	-0.896004294	0.012523089	2.146400164	-0.240441326	3.836963854
Rps3a3	-2.103524179	1.124091346	0.305772526	0.227761247	0.405733099	0.04016596	1.347320611
Dab2ip	-1.048334508	-0.649442088	-0.884205227	1.513463218	1.180774551	-0.112255946	5.163963646
Rab20	-0.838967894	-0.161545994	-1.375026736	-0.172950674	1.500101087	1.048390211	4.751081248
Stard8	-1.332089629	-1.01633804	-0.461305004	1.117409401	1.232949111	0.459374162	5.619465348
Cplx2	-0.368766596	-0.473700969	-0.410430591	1.911916397	0.564523455	-1.223541695	2.505796313
Chit1	-0.916243988	-0.944901188	-0.622450643	-0.271643538	1.450939963	1.304299393	4.967191638
Gab2	-1.432148333	-0.784797495	-0.482234592	1.138914636	0.238767657	1.321498128	5.39836084
Itgb2	-1.392797826	-0.901852294	-0.51436555	1.383627425	0.873805976	0.551582269	5.618031341
Igkv12-89	-0.447213595	-0.447213595	-0.447213595	2.236067977	-0.447213595	-0.447213595	2.683281573
Bcl2l14	-1.528428725	-0.228603664	-0.921317859	0.767209229	1.372691237	0.538449781	5.356700496
Naip5	-1.270972293	-0.878856987	-0.812600196	1.058824117	1.049156563	0.854448795	5.924858951
Fam49a	-1.115765954	-0.876250123	-0.4876326	1.35005477	1.367550785	-0.237956878	4.959297353
Pcp4l1	-0.46158158	-0.210289936	-0.578902837	-1.385718992	1.39514396	1.241349386	2.501548708
Ckm	-1.263207999	0.166977443	-0.917792724	-0.430111587	1.647618251	0.796516616	4.028046562
Rab13	-0.75741716	-0.646131664	-0.93807447	-0.400999508	1.693071314	1.049551488	4.683246588
Plcb2	-1.257965929	-0.909336599	-0.771261533	1.224595374	0.74013795	0.973830737	5.877128122
Gm7887	-0.377591276	-1.194608109	-1.096092878	0.599856519	0.430117036	1.638318708	5.336584526
Nwd1	-1.288478414	-0.95775122	-0.449312516	1.613596641	0.41516123	0.666784278	5.391084299
Irf7	-0.610421933	-1.121422686	-0.832890258	-0.084297708	1.607621504	1.041411081	5.129469754
Cox4i2	-0.78953802	-0.416921794	-1.084592547	1.225145958	1.522246912	-0.45634051	4.58210472
Trim30d	-0.915232774	-1.150246452	-0.816985872	1.231218518	1.208121318	0.443125261	5.764930195
Mmp9	-0.373762323	-0.262765398	-0.559432828	2.220817226	-0.409724324	-0.615132353	2.391921098
Cd1d2	-2.12556803	0.618948392	-0.151040358	0.710210555	0.721536135	0.225913305	3.31531999
Slfn8	-0.998427562	-1.022068039	-0.957129309	1.21701906	0.955870584	0.804735266	5.95524982
Ston2	-0.767350962	-0.836073278	-0.731470846	-0.375963604	0.930353866	1.780504824	4.669790172
Mylip	-1.123197096	-0.725338255	-1.082967633	1.265882728	0.990748894	0.674871361	5.863005967
Fcgr2b	-1.011425555	-0.511945464	-1.24420619	0.577328014	0.628767578	1.561481618	5.535154418
Retnlg	-0.281283698	0.23936841	-0.65997945	2.086387647	-0.450807385	-0.933685524	1.403789476
Snx33	-1.072763888	-0.901020202	-0.903956967	1.094059708	1.356854554	0.426826795	5.755482114
Castor2	-0.859415764	-0.784586302	-0.899755947	1.178877364	1.552804237	-0.187923588	5.087516027
Ecm1	-0.73169791	-0.64398408	-1.197276176	0.242108544	0.516816336	1.814033285	5.145916331
Gm13431	-0.773647994	-0.270784932	-1.571715486	0.748380978	1.459955503	0.407811931	5.232296826
Gzmb	-0.497712611	-0.406065041	-0.497712611	2.234342854	-0.399606882	-0.43324571	2.802980525
Oas3	-0.95008285	-1.042551131	-0.898945836	0.494405379	1.404338016	0.992836422	5.783159633
Trp53inp1	-0.96352689	-0.989039726	-0.519976508	1.76351978	0.834970681	-0.125947338	4.945086246
Mctp1	-1.101043066	-1.129467409	-0.674211716	1.372322706	0.761081258	0.771318227	5.809444384
Sgk1	-0.750378303	-0.565392682	-0.799132547	-0.705472406	1.453194696	1.367181242	4.229807064
Hgf	-1.031694949	-1.04893406	-0.630600947	0.417320715	0.584585109	1.709324131	5.422459912
Ppp1r3d	-1.086546845	-0.812238741	-1.001332762	1.288259172	1.120858299	0.491000878	5.800236696
Rgl1	-1.131595209	-1.111572628	-0.536244759	0.294648942	1.348440605	1.136323049	5.558825191
Dgka	-0.962631279	-0.954566351	-1.061280116	0.77461704	1.162329248	1.041531458	5.956955492
Entpd1	-0.978355315	-0.609376523	-1.018943269	-0.073381565	1.475119058	1.204937614	5.213350215
Ptgs1	-1.177868399	-0.720595022	-1.048207743	1.240792247	0.847814108	0.858064808	5.893342327
Tbc1d23	-0.821045756	-1.072722989	-0.975352277	1.520978609	0.70337378	0.644768633	5.738242043
Lcp2	-1.102799796	-0.875894188	-1.010499098	0.912910823	1.095818576	0.980463682	5.978386163
Scarf1	-1.162279485	-0.407453033	-1.0663157	1.387278068	1.190867807	0.057902343	5.272096436
Eid2	-0.727542318	-0.794322683	-0.673600121	1.23371587	-0.614903834	1.576653086	4.390930244
Otos	-0.768131523	-0.680609549	-0.915689481	1.899057511	0.676280883	-0.210907841	4.728861105
Col4a2	-1.105865953	-0.75969272	-1.042656288	0.861696359	1.394847461	0.651671141	5.816429922
Ppm1e	-1.012361033	-1.005489066	-0.946405795	1.290750634	0.804458509	0.86904675	5.928511788
Gem	-0.83681927	-1.206814206	-0.785399202	0.826499357	1.520068181	0.48246514	5.658065357
Fnbp1l	-0.967659613	-0.996966479	-0.949781795	0.735398164	0.734008651	1.445001072	5.828815773
Cd200r4	-0.677995314	-0.487925942	-0.921695197	1.736927588	1.004295518	-0.653606654	4.175232906
Rxra	-1.139995049	-0.90522694	-0.805641561	1.53685969	0.599224898	0.714778963	5.701727101
AC138790.1	-1.027816515	-0.632860103	-1.053827893	0.38558853	1.699212484	0.629703497	5.429009022
Runx1	-1.187616644	-0.824528995	-0.937776258	0.873842365	0.801776417	1.274303116	5.899843795
Grap	-0.877011734	-0.748221112	-1.273505775	0.560093589	1.190101213	1.148543818	5.797477241
AI661453	-0.935356982	-0.924767138	-1.066627326	0.562075227	1.283441594	1.081234626	5.853502894
Erg	-1.175570694	-0.908431665	-0.901171952	1.002734042	0.91993094	1.062509329	5.970348622
Ccdc85c	-1.016987824	-0.97872444	-0.761873503	0.618081255	0.454683647	1.684820865	5.515171533
Sipa1l1	-0.989455734	-1.094309296	-0.662094039	0.524530985	0.543736348	1.677591735	5.491718136
Rtp4	-0.393604912	-1.406757573	-0.868713411	0.43171142	1.578122477	0.659241999	5.33815179
Ttyh2	-0.794575772	-0.931306947	-0.923530544	1.795213606	0.25276161	0.601438048	5.298826527
Ccm2l	-0.965599262	-0.752166553	-1.190174827	0.566231211	1.063784387	1.277925044	5.815881284
Siglecf	-1.041674784	-0.9814991	-0.974855245	0.964404649	1.05767679	0.975947689	5.996058258
Pstpip2	-1.130393359	-0.908846542	-0.943912128	1.1501481	0.881527997	0.951475932	5.966304058
Cd200r1	-1.205331154	-1.021890021	-0.707207301	1.100290505	1.151701874	0.682436097	5.868856951
Pcdh7	-1.119160923	-1.01024503	-0.841492859	0.812317378	1.200073885	0.95850755	5.941797625
Ltbp1	-0.895827305	-1.12544039	-0.838038373	0.381306428	1.158584173	1.319415467	5.718612136
Rhoj	-0.736854487	-0.99700902	-1.081240552	0.293874854	1.139625825	1.381603379	5.630208117
Itga6	-1.106818871	-1.094546831	-0.549696858	1.616929663	0.474431853	0.659701044	5.50212512
Bcl3	-1.177060277	-0.590888741	-1.148737345	0.73351055	1.202529499	0.980646312	5.833372724
Hspa1b	-0.543911012	-0.511876137	-1.005348304	-0.048608244	0.005217995	2.104525702	4.122270905
Slc39a4	-1.166298289	-0.638023769	-1.138891361	0.818320158	1.127126134	0.997767125	5.886426836
Chst1	-0.911934909	-1.285144103	-0.747561261	0.97571715	1.168279991	0.800643132	5.889280545
Selp	-1.139921483	-0.656811439	-1.003506577	1.33288967	1.185891491	0.281458338	5.600478997
Csf2rb2	-1.242615547	-0.836455779	-0.868879697	0.719672819	1.094702501	1.133575703	5.895902045
Aldh1l1	-1.012798107	-0.877688964	-1.001336271	1.198483557	1.253588251	0.439751533	5.783646683
Fmnl2	-0.907948713	-0.955394544	-0.788844689	0.010670438	1.045392427	1.59612508	5.304375891
Slamf1	-0.954696568	-1.084525476	-0.893151076	0.571592163	1.155100664	1.205680292	5.864746239
Ly6a	-1.121087203	-0.489559171	-1.022565353	1.357135835	1.271225472	0.00485042	5.266423453
Fam189b	-1.042665551	-0.774865152	-1.054041071	1.298420955	1.15949044	0.413660379	5.743143548
Serpina3g	-1.171470711	-0.682008461	-1.106985946	1.045472325	1.029925211	0.885067582	5.920930236
Hbb-bt	-0.846236996	-1.206423984	-0.709281777	1.428639724	1.11133316	0.221969874	5.523885515
Fcer1a	-0.743069384	-0.314969564	-0.759223299	2.019590614	0.478925211	-0.68125358	3.634524492
Mdfi	-1.048571759	-0.726021359	-1.161087022	0.734213496	1.278173493	0.92329315	5.871360281
Jup	-1.010534253	-0.932939889	-1.036086172	0.862925246	1.216837477	0.899797592	5.959120628
Scin	-0.675008357	-0.613759772	-0.650126608	2.140872253	0.164780495	-0.366758011	3.877789474
Ms4a2	-0.676420553	-0.673558972	-0.981771421	1.803047935	0.870219944	-0.341516933	4.663501893
Pf4	-0.995930501	-0.652626905	-1.276642952	1.042990272	1.156972158	0.725237928	5.850400716
Clca3a1	-0.975406414	-1.135831544	-0.834856031	0.744133032	0.896732541	1.305228416	5.892187978
Hes1	-0.979976992	-0.902549224	-1.094708582	0.782652193	1.152165025	1.04241758	5.954469597
