gene	Preleukemia_Rx1Tet2_rep1	Preleukemia_Rx1Tet2_rep2	Preleukemia_Rx1Tet2_rep3	Leukemia_Rx1Tet2_rep1	Leukemia_Rx1Tet2_rep2	Leukemia_Rx1Tet2_rep3	
Dio2	0.912099014	0.957648673	1.008993585	-0.443369873	-1.405864582	-1.029506817	-5.757482544
Gbp5	0.756613804	1.230162907	0.977083541	-1.030962157	-0.846841283	-1.086056812	-5.927720505
Tspan8	1.401783859	0.269261949	1.146469744	-0.973214237	-0.911252991	-0.933048324	-5.635031105
Scpep1	0.833688422	1.089884423	0.904552537	-0.892996875	-0.406718608	-1.5284099	-5.656250765
Gypa	1.145865065	0.378810112	1.336946671	-1.081532759	-0.85843711	-0.921651978	-5.723243695
Gm4841	0.947227606	0.9665604	1.081956982	-0.938083653	-1.007571271	-1.050090063	-5.991489974
Gbp6	0.721941537	1.184100994	1.038779665	-0.720438884	-1.160509945	-1.063873367	-5.889644393
Mefv	1.057248603	1.065356697	0.861695877	-0.839769839	-1.072265669	-1.072265669	-5.968602355
Gm4951	0.766970081	1.123078318	1.055945099	-0.675629244	-1.164166061	-1.106198194	-5.891986995
Il6ra	0.818123619	0.937594624	1.136389418	-0.465984947	-1.217028142	-1.209094573	-5.784215323
Siglece	0.820858119	1.006705915	0.644213426	0.264286622	-1.16205454	-1.574009542	-4.94355492
Rassf8	0.759610884	1.20677051	0.985293911	-1.176747556	-1.021577778	-0.753349973	-5.903350613
Ear1	0.359858707	1.987582869	0.049939809	-0.816006915	-0.816006915	-0.765367555	-4.79476277
Nuak2	1.006513085	1.060084264	0.828201832	-0.461536937	-1.260423646	-1.172838598	-5.789598362
Tmem246	1.066879464	0.603383726	1.255193577	-1.149366556	-0.778743519	-0.997346692	-5.850913534
Gstm2-ps1	0.999142588	1.145647541	0.830277537	-1.0716865	-0.810440583	-1.092940584	-5.950135333
C4b	0.23631464	1.345742055	0.831741261	0.188480113	-1.400863305	-1.201414763	-4.827595912
Prss50	0.844261001	0.477546739	1.530962443	-0.971581596	-0.90960699	-0.971581596	-5.705540365
Plau	1.015415805	1.137812561	0.779533014	-0.614872043	-1.192623139	-1.125266199	-5.865522761
AC073683.1	0.833729153	1.024969589	1.125221053	-0.878350518	-1.052784639	-1.052784639	-5.96783959
Gm36161	1.006506582	1.130826212	0.669814816	-0.288223907	-1.214945781	-1.303977922	-5.614295219
Fndc3b	0.949141186	0.894309182	1.106594208	-0.645656062	-1.114668285	-1.189720228	-5.90008915
Fhl2	-0.606338361	1.555064011	1.256450844	-0.636649697	-0.784263398	-0.784263398	-4.410352986
Mmp19	0.938499903	1.097152601	0.937135313	-0.744823692	-1.130968863	-1.096995263	-5.945575635
Cxcl10	0.560995304	1.455545709	0.790833601	-0.512349455	-0.997211273	-1.297813887	-5.61474923
Gm1673	0.645020174	1.444882851	0.628485015	-1.53263838	-0.43589143	-0.74985823	-5.43677608
Bex4	1.702391297	0.225576475	0.779378743	-0.908873593	-0.910287862	-0.88818506	-5.41469303
Gca	1.093095494	0.745323476	1.135491957	-1.050652927	-0.902633536	-1.020624466	-5.947821855
Sun2	0.816205554	1.089347439	0.956278903	-0.379912775	-1.176282166	-1.305636955	-5.723663793
Gm13203	0.454808149	1.456390744	0.936904175	-0.715475685	-1.001773462	-1.13085392	-5.696206136
Pi16	0.593465094	1.030352072	0.688819383	0.467321804	-1.269091303	-1.51086705	-4.625273098
Alcam	0.790894781	0.745960449	1.260986025	-0.41850388	-0.856371502	-1.522965873	-5.59568251
Gda	0.87338805	0.772989372	0.793777991	0.341137647	-1.27789279	-1.503400269	-4.880310826
Batf2	0.698407907	1.315342896	0.868077049	-0.624005735	-1.341370682	-0.916451435	-5.763655704
Lonrf3	0.971117257	1.0815439	0.944656925	-0.992408365	-1.009921697	-0.99498802	-5.994636165
AC102496.1	1.012270388	1.07759234	0.906008043	-0.96694169	-1.01446454	-1.01446454	-5.99174154
