gene	Preleukemia_Rx1Tet2_rep1	Preleukemia_Rx1Tet2_rep2	Preleukemia_Rx1Tet2_rep3	Leukemia_Rx1Tet2_rep1	Leukemia_Rx1Tet2_rep2	Leukemia_Rx1Tet2_rep3
Car1	1.0094371642590405	0.8256087251371179	1.149893290083296	-1.038830837244978	-0.9266111008961038	-1.0194972413383727
Elane	0.9155552090652564	1.0284260355994597	0.8746399909455118	-0.4361807985085832	-0.7969877189155437	-1.5854527181861024
Ly6c2	0.8701388914215911	1.1201666789773193	0.9012027714005012	-0.5420918806945932	-0.9275483381806533	-1.421868122924166
Ctsg	0.9851659760175712	1.034124957784823	0.8355480217973921	-0.3650262906573269	-1.1243548320048906	-1.3654578329375668
Plac8	0.8949147545236569	1.0367421430723731	0.803725686200751	-0.40552741528156	-0.6173176434323858	-1.7125375250828345
Prtn3	0.9358655284424447	1.121477573226082	0.870245598956688	-0.6045825249437652	-1.0108088820361636	-1.3121972936452886
Clec12a	0.9498333443229753	0.9560403389201387	0.8451867508176572	-0.2192007151247103	-0.9371008211249192	-1.5947588978111418
Cldn13	1.0600953170090983	0.7276969083890087	1.183245175164444	-1.014287515090405	-0.9373154529035042	-1.0194344325686442
Rhd	1.0665461248829375	0.7016420005141629	1.1978546209081624	-1.0212723967238528	-0.9472952448879333	-0.9974751046934771
Sphk1	1.0408712370200115	0.7141365161120115	1.212657571424252	-0.9918547891796173	-1.0014728779426425	-0.9743376574340148
Cox6b2	1.0128771690571436	0.9505330389358404	1.026496075021535	-1.1381830422525978	-0.9849059782793804	-0.8668172624825403
Ccl9	0.9881720231995778	1.0390362710447805	0.8669035751175994	-0.4666491775609125	-1.094674938038387	-1.3327877537626587
Klf1	1.0979468169752222	0.7029973225410265	1.1645263621222142	-1.079132793101048	-0.959345118444381	-0.9269925900930361
Anxa3	0.9938183085904213	0.9748607297797475	0.8401864457776435	-0.3030688754727841	-1.0031990872068524	-1.5025975214681753
Hk3	0.8524458021135122	1.0222909720112154	0.8571700204068301	-0.19201582180448837	-0.930001574353268	-1.609889398373801
Hp	0.8641706593381353	0.9876581916815121	0.8156996058179686	-0.06105377697002231	-0.9778208153578567	-1.628653864509737
Ces2g	1.0550649164073	0.6432911109129423	1.2511133426013281	-0.9163574603253656	-0.9915863814450898	-1.0415255281511162
Emb	0.9453783455135948	0.8998931251200443	0.8926472736298311	-0.11545501079444215	-1.1568862871425099	-1.4655774463265192
Rgcc	0.8813997936682307	1.0829879308160206	0.8800963803105041	-0.42421972610510933	-0.9212553129778336	-1.499009065711813
S100a8	0.8083835767979903	0.5791723476454838	0.7328303425026936	0.4304836754302835	-0.5559733157396167	-1.9948966266368342
Lgals1	0.9082143083810588	0.9729550140893614	0.7927070324094377	-0.6580173631256864	-0.2545072092788046	-1.761351782475364
App	0.9550354556637404	0.9833750379711361	1.0067236054923079	-0.64118774054268	-1.0067453151866312	-1.297201043397873
Prss57	0.9045667383355045	1.0742154113920888	0.9037785371637215	-0.4314976666596219	-1.123161053731591	-1.3279019665001026
Slc38a5	1.113347219201576	0.6750312359650184	1.1740928191309257	-1.0083910742422484	-0.9877540931532925	-0.9663261069019781
Tnfsf13	0.9733585909725905	1.1048159866027292	0.8927931531498988	-0.7432495738727649	-1.0905025743164574	-1.1372155825359966
Trem3	0.9666344545008057	0.9595468838346877	0.8245789830735518	-0.14871151532067126	-1.1314469865841503	-1.4706018195042239
