gene	Preleukemia_Control_rep1	Preleukemia_Control_rep2	Preleukemia_Control_rep3	Preleukemia_Rx1Tet2_rep1	Preleukemia_Rx1Tet2_rep2	Preleukemia_Rx1Tet2_rep3	Leukemia_Rx1Tet2_rep1	Leukemia_Rx1Tet2_rep2	Leukemia_Rx1Tet2_rep3	cluster
Aplf	0.4074330890708558	1.5556128746358102	1.1518207822422917	0.0685159142592814	0.0298501019602107	0.3976008954237642	-1.6805598796438015	-1.308971063156057	-0.6213027147923633	0
Incenp	0.3700061363806414	0.6867471355229455	0.693496369482814	0.6259521156992915	0.4321772006006716	0.9101679321956656	-1.7227191533881896	-1.876581128764655	-0.1192466077291955	0
Pabpc4	1.036753743227231	0.942030064779962	0.7764718507066762	0.6476291681391446	0.2195270261724484	0.4740847126828694	-1.5800432392436827	-1.4577701654488209	-1.058683161015828	0
Ercc6l	0.3744993357299432	0.8388445079479001	0.9952902855765337	0.6648614592841982	0.3559775671887767	0.7830975083151649	-1.8080628596115265	-1.47939197795348	-0.725115826477511	0
Fam241a	0.9413756261017704	0.6786501851580458	0.659052453899437	0.7177831113747392	0.4752768065528399	0.6200671390351558	-0.8800749934482017	-1.3233203971380658	-1.8888099315357203	0
Kpna2	0.6877932292851822	0.7072873614765343	0.8095000523095661	0.6534741036363396	0.5009354253553594	0.7178732878808053	-2.0016882035277552	-1.1328665053029172	-0.9423087511131072	0
Nasp	1.221692533739678	0.5470618861257355	0.7684415237310329	1.0371636639948345	0.0609512429489105	0.2316220435899128	-1.5616435072239652	-1.5934995204700997	-0.7117898664360367	0
Cacybp	1.2827569945239032	0.5175755427534396	0.7058125222754275	1.01314888212812	0.3883825255006293	0.095876622695461	-1.406095119579195	-1.459161719737749	-1.1382962505600351	0
Top2a	0.2173071238750261	0.5326769390943812	0.5484032165180008	0.7938601469906911	0.5577875042722515	0.908973389430222	-1.7434451385473628	-1.8857840357554752	0.0702208541222682	0
Gm28086	2.2316101296045376	0.5671027057284933	1.0336048521052612	-0.7166501999389666	-0.2490666877434594	-0.7166501999389666	-0.7166501999389666	-0.7166501999389666	-0.7166501999389666	0
Lgals1	0.957046077441068	0.7504501045763142	0.7126289458387112	0.5076470765022764	0.5725864462294652	0.3917853536737039	-1.0633907501886644	-0.6586423807871699	-2.170110873285705	0
Zdhhc14	1.249276061484566	1.5245125574030791	0.8378562121899409	0.1795813481514025	-0.7668235351109469	0.3045245782154501	-1.0659860955661502	-1.1726233963818342	-1.090317730385507	0
Gm10076	1.6851044425183408	0.3540179507546382	0.4258671305908879	0.6501825402641597	0.1768196477511224	0.2429141737710194	-1.5965691893335503	-0.2934783579839579	-1.6448583383326747	0
